region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
bangalore,399000,2014,hyundai,grand i10,salvage,4.0,petrol,72276,clean,automatic,fwd,hatchback
bangalore,356000,2020,renault,kwid,fair,3.0,petrol,55333,clean,automatic,fwd,hatchback
bangalore,598000,2018,hyundai,i20,fair,4.0,cng,63603,clean,manual,fwd,hatchback
bangalore,1297708,2020,mg motors,hector,fair,4.0,petrol,41176,clean,automatic,fwd,suv
bangalore,274000,2013,hyundai,i10,fair,4.0,petrol,34109,clean,manual,fwd,hatchback
bangalore,360000,2013,maruti suzuki,ritz,salvage,4.0,petrol,72743,clean,manual,fwd,hatchback
bangalore,280000,2015,hyundai,eon,fair,3.0,petrol,60954,clean,manual,fwd,hatchback
bangalore,893000,2020,kia,sonet,salvage,4.0,diesel,70535,clean,manual,fwd,suv
bangalore,1096000,2019,kia,seltos,fair,4.0,petrol,65981,clean,manual,fwd,suv
bangalore,344000,2017,maruti suzuki,celerio,salvage,3.0,petrol,74807,clean,automatic,fwd,hatchback
bangalore,673000,2015,honda,city,fair,4.0,petrol,50265,clean,automatic,fwd,sedan
bangalore,517000,2015,honda,mobilio,fair,4.0,petrol,53708,clean,manual,fwd,muv
bangalore,1142000,2020,kia,seltos,salvage,4.0,petrol,121649,clean,manual,fwd,suv
bangalore,315000,2012,honda,brio,fair,4.0,petrol,30975,clean,manual,fwd,hatchback
bangalore,1476523,2022,tata,safari,salvage,4.0,diesel,99332,clean,automatic,fwd,suv
bangalore,223000,2014,hyundai,eon,fair,3.0,petrol,30793,clean,manual,fwd,hatchback
bangalore,1495713,2022,kia,seltos,fair,4.0,diesel,40908,clean,automatic,fwd,suv
bangalore,405000,2017,mahindra,kuv100,fair,3.0,petrol,58890,clean,manual,fwd,crossover
bangalore,435000,2013,hyundai,i20,salvage,4.0,diesel,118364,clean,manual,fwd,hatchback
bangalore,869000,2022,maruti suzuki,ciaz,fair,4.0,petrol,39992,clean,manual,fwd,sedan
bangalore,970000,2021,hyundai,verna,fair,4.0,petrol,48505,clean,manual,fwd,sedan
bangalore,282000,2013,maruti suzuki,a-star,fair,3.0,petrol,67637,clean,automatic,fwd,hatchback
bangalore,1033133,2022,maruti suzuki,xl6,good,4.0,petrol,29632,clean,manual,fwd,muv
bangalore,1216953,2019,hyundai,creta,salvage,4.0,diesel,79839,clean,automatic,fwd,suv
bangalore,1345178,2023,hyundai,verna,fair,4.0,petrol,42298,clean,manual,fwd,sedan
bangalore,254000,2012,ford,figo,salvage,4.0,petrol,83554,clean,manual,fwd,hatchback
bangalore,887000,2020,ford,ecosport,good,3.0,petrol,20031,clean,manual,fwd,suv
bangalore,265000,2012,ford,figo,fair,4.0,petrol,50028,clean,manual,fwd,hatchback
